"","word","DVC.freq","DVC.prop","TLS.freq","TLS.freq","dProp","dAbs"
"98","exact",55,0.0211864406779661,102,0.0373626373626374,-0.0161761966846713,0.0161761966846713
"99","repli",36,0.0138674884437596,82,0.03003663003663,-0.0161691415928704,0.0161691415928704
"100","surpris",94,0.0362095531587057,55,0.0201465201465201,0.0160630330121856,0.0160630330121856
"101","becom",34,0.0130970724191063,79,0.0289377289377289,-0.0158406565186226,0.0158406565186226
"102","deciph",18,0.00693374422187982,62,0.0227106227106227,-0.0157768784887429,0.0157768784887429
"103","can",140,0.0539291217257319,190,0.0695970695970696,-0.0156679478713377,0.0156679478713377
"104","left",129,0.0496918335901387,93,0.0340659340659341,0.0156258995242046,0.0156258995242046
"105","degre",7,0.00269645608628659,50,0.0183150183150183,-0.0156185622287317,0.0156185622287317
"106","face",102,0.039291217257319,149,0.0545787545787546,-0.0152875373214356,0.0152875373214356
"107","legend",26,0.0100154083204931,69,0.0252747252747253,-0.0152593169542322,0.0152593169542322
"108","art",69,0.0265793528505393,31,0.0113553113553114,0.0152240414952279,0.0152240414952279
"109","member",49,0.0188751926040062,10,0.00366300366300366,0.0152121889410025,0.0152121889410025
"110","car",87,0.0335130970724191,50,0.0183150183150183,0.0151980787574008,0.0151980787574008
"111","key",158,0.0608628659476117,125,0.0457875457875458,0.0150753201600659,0.0150753201600659
"112","side",62,0.0238828967642527,106,0.0388278388278388,-0.0149449420635861,0.0149449420635861
"113","historian",46,0.0177195685670262,8,0.00293040293040293,0.0147891656366233,0.0147891656366233
"114","magic",14,0.00539291217257319,55,0.0201465201465201,-0.014753607973947,0.014753607973947
"115","wall",73,0.0281201848998459,117,0.0428571428571429,-0.0147369579572969,0.0147369579572969
"116","liquid",9,0.00346687211093991,49,0.0179487179487179,-0.014481845837778,0.014481845837778
